id;key;shift_start;shift_end;type
1;13438;2024-01-01T08:44:04;2023-12-31T19:03:46;quieten
2;25713;2023-12-31T23:58:52;2024-01-01T07:45:59;accent brr notwithstanding
3;5786;2024-01-01T13:32:00;2024-01-01T07:29:10;lovable meh
4;24106;2024-01-01T02:12:39;2024-01-01T13:45:32;huddle mmm
5;13590;2024-01-01T01:04:10;2024-01-01T02:04:30;careful
6;24183;2023-12-31T20:09:06;2024-01-01T01:21:35;linen fatherly voluntarily
7;20225;2024-01-01T18:26:42;2024-01-01T02:37:13;shyly apropos regard
8;17715;2023-12-31T22:22:58;2024-01-01T14:44:22;yahoo
9;21924;2024-01-01T05:04:48;2023-12-31T21:23:39;furiously
10;24549;2024-01-01T08:44:18;2024-01-01T01:55:11;nicely finally
