id;key;shift_start;shift_end;type
1;18585;2024-01-01T07:41:54;2024-01-01T01:07:40;sorrowful gullible conversion
2;22754;2024-01-01T07:10:04;2023-12-31T22:23:51;near upside-down
3;514;2024-01-01T14:11:20;2024-01-01T07:07:28;greatly scapegoat um
4;19897;2024-01-01T02:13:55;2024-01-01T11:16:23;furthermore
5;4433;2024-01-01T11:53:12;2024-01-01T03:06:50;tender moody
6;27280;2024-01-01T13:40:22;2024-01-01T10:00:23;yowza comma
7;30964;2023-12-31T19:37:28;2024-01-01T04:23:49;beside
8;28542;2024-01-01T11:59:20;2024-01-01T17:35:15;likewise except
9;4226;2023-12-31T23:21:31;2024-01-01T12:59:03;while figure pecan
10;5149;2024-01-01T13:36:51;2024-01-01T02:12:02;more hard
